numinous,a. 神聖的; 神秘的;[類] divine
quandary,"n. 困惑、為難;[類] predicament, dilemma"
quarrel,n. 爭吵、分歧
querulous,a. 愛發牢騷的、愛抱怨的
quixotic,a. 不切實際的、空想的;[類] impractical;[記] 源自 Don Quixote (唐吉軻德)
rail at,v. 抱怨
rancor,v. 仇恨、激烈的憎恨;[記] (1) rancor 音讀「怨恨」;(2) 音讀「亂看」→招致怨恨
rapprochement,n. (法文)(國家間)友好、和睦
rarified,a. 只有一小群人知道的、稀薄的;[記] rar (=rare)→很少的→只有一小群人知道的
rationale,n. 根本原因、邏輯依據
rebuff,"n. 回絕、斷然拒絕;[類] snub, reject sharply;[記] re(回) + buff(音讀「吧噗啦」)→斷然拒絕"
rebuke,"v. 斥責、指責;[類] reprimand, admonish, chide;[反] commend, endorse"
rebut,"v. 駁斥、反駁;[類] repel, refute"
reconnaissance,n. 偵查、勘查、事先考查
redeem,v. 贖回
rehash,v. 重新處理、改寫
reiterate,v. 重申、反覆說
relish,"n. 滋味;v. 享受、喜歡;[記] release ""taste, flavor"", alteration of reles ""scent, taste, aftertaste."" (c. 1300), from Old French relais, reles, ""something remaining, that which is left behind,"" from relaisser ""to leave begind"" (see release(v.));;ex. I always relish a challenge."
restive,a. 不安寧的、焦躁不安的;[類] restless;[記] rest
retaliate,v. 報復、回敬;;[記法]回過來殺 (台語)
reticent,a. 無言的、沉默的;= laconic
revere,v. 尊敬、推崇;= veneration
ridge,n. 屋脊、山脊
rumination,n. 反芻、反思
sarcastic,a. 諷刺的、挖苦的
sardonic,a. 嘲諷的
sartorial,a. 衣服的、男裝的
savor,v. 細細品嘗;n. 風味
scathing,a. 刻薄的、嚴厲的
schematic,a. 概要的、圖解的
scintillate,v. (才智)煥發、發出火花
scourge,n. 鞭打、鞭笞、嚴懲、嚴斥;[記] s 音讀「死」 + courge(=courage勇氣)→受到 scourge 鞭打的人沒有 courage 就死 s
scruple,n. 謹慎小心、顧忌猶豫;[記] 海關人員將箱子撕開來檢查→謹慎小心、顧忌猶豫
serendipitous,a. 意外發現的
shackle,n. 腳鐐;v. 束縛;[記] 音讀「塞口」、「手銬」→束縛
shading,n. 細微差異;[類] nuance
shirk,v. 逃避
shrewd,a. 善於判斷的、精明的、敏銳的
shun,"v. 避開、躲開;[類] avoid, dodge, duck;[記] 音讀「閃」"
sift,v. 篩、過濾
skittish,a. 易受驚的、易激動的;;of an animal : easily frightened or excited;: nervous or fearful about doing something;: tending to change often : not dependable or stable;;[類] restive;[例] Investors turned skittish over the first U.S. case of Ebola.
skulduggery,n. 欺騙、詐欺
slake,v. 平息、使滿足
slapdash,a. 草率的、倉促的
slumber,"v. 睡, 睡眠"
slur,"v.誹謗, 中傷;;[記法]死了"
snobbery,n. 勢利
somatic,a. 身體的、軀體的;[記] somatic 音讀 someone→某人的→身體的、軀體的
sordid,a. 骯髒的、汙穢的;[記] sordid 音讀「縮地」；以強韌的腳力，從初速一下子進展到最快速的腳程→弄得很髒→骯髒的
sound,a. 健全的、完好的
spontaneous,a. 自發的、自主的
sporadic,"a. 零星的;[類] occasional, infrequent, irregular;[反] incessant, constant;[例] sporadic success (偶爾的成功);[記] spor(=sper發散)→發散的→零星的"
spurious,"a. 假的、站不住腳的、欺騙性的;[類] bogus, counterfeit, fraudulent, phony"
